GeneID	GeneSymbol	HL_17_R1	HL_17_R2	HL_18_R1_a	HL_18_R2_a	HL_18_R1_b	HL_18_R2_b	HL_30_R1	HL_30_R2	HL_33_R1	HL_33_R2	HL_34_R1	HL_34_R2	HL_38_R1	HL_38_R2	HL_39_R1	HL_39_R2
ENSG00000005700.10	IBTK	1177	1030	1773	1708	732	812	2281	2365	1483	1670	1383	1335	272	309	337	552
ENSG00000005801.12	ZNF195	548	503	951	991	414	459	991	961	705	802	691	685	215	288	192	279
ENSG00000005810.13	MYCBP2	2742	2395	6472	5941	1313	1579	8757	8512	2826	3087	2248	2344	519	712	406	673
ENSG00000005812.6	FBXL3	1379	1149	2551	2479	847	941	3355	3349	1627	1818	1347	1345	321	394	273	400
ENSG00000005844.13	ITGAL	5423	4909	9463	9414	4000	4084	12097	11626	7565	7848	6252	6739	3657	4126	3441	5158
ENSG00000005882.7	PDK2	503	453	414	482	317	435	648	639	460	469	367	448	41	52	32	61
ENSG00000005884.13	ITGA3	727	714	563	664	671	663	1931	1795	602	639	556	541	212	203	80	128
ENSG00000005889.11	ZFX	924	851	1775	1701	520	520	2385	2284	998	1116	588	597	166	187	258	368
ENSG00000005893.11	LAMP2	3243	2987	3661	3382	2029	2166	5028	5009	3544	4026	4971	4914	687	865	654	922
ENSG00000005955.8	GGNBP2	2218	1959	4065	3957	1663	1686	3778	3978	2447	2749	2350	2383	511	625	508	784
ENSG00000005961.13	ITGA2B	14	16	11	17	18	13	19	11	22	21	20	11	1	7	1	2
ENSG00000005981.8	ASB4	0	0	1	0	1	0	3	3	1	0	0	0	0	0	0	0
ENSG00000006007.7	GDE1	1192	1015	1534	1548	1065	1240	1839	1773	1690	1905	2191	2148	307	391	291	440
ENSG00000006015.13	C19orf60	1073	1142	1392	1226	1942	1951	1302	1414	1475	1278	1172	1431	469	483	170	273
ENSG00000006016.6	CRLF1	90	70	49	44	117	128	31	44	66	67	126	96	51	37	5	6
ENSG00000006025.7	OSBPL7	841	799	953	1006	955	1039	1205	1151	1085	1078	904	935	174	176	177	263
ENSG00000006042.7	TMEM98	656	631	248	248	663	775	363	317	825	875	780	821	18	18	13	16
ENSG00000006047.8	YBX2	13	5	5	7	2	7	7	11	1	2	4	1	2	3	0	0
ENSG00000006059.3	KRT33A	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
ENSG00000006062.9	MAP3K14	1603	1412	2382	2586	1345	1450	3446	3132	2508	2560	1496	1593	355	336	257	382
ENSG00000006071.7	ABCC8	11	18	4	6	1	2	5	4	1	1	1	1	1	0	0	0
ENSG00000006074.4	CCL18	8414	7857	6880	6871	27961	31491	16713	15968	26969	29409	110624	117644	23094	27376	27728	43074
ENSG00000006075.11	CCL3	828	711	315	362	672	864	495	421	275	334	2111	2211	410	439	286	453
ENSG00000006114.11	SYNRG	1821	1687	3700	3505	1259	1360	5296	5295	2251	2681	1874	1930	467	589	541	917
ENSG00000006116.3	CACNG3	8	9	14	11	6	5	10	15	3	6	2	2	4	7	1	6
ENSG00000006118.10	TMEM132A	195	210	330	291	1899	2037	524	519	1076	966	759	975	60	65	27	60
ENSG00000006125.12	AP2B1	4206	3693	5825	5700	3364	4093	8972	8738	5769	6422	5961	5911	978	1109	713	1124
ENSG00000006128.7	TAC1	0	0	0	1	0	1	0	4	0	0	0	0	4	1	0	0
ENSG00000006194.6	ZNF263	1226	1088	1862	1840	1455	1570	2194	2139	1764	1921	1518	1602	452	517	251	427
ENSG00000006210.6	CX3CL1	828	674	900	1030	844	1017	1318	1202	1211	1287	1234	1438	226	190	133	205
ENSG00000006282.15	SPATA20	2130	1996	2279	2476	2711	2993	1738	1733	2669	2568	1923	2156	860	794	180	255
ENSG00000006283.13	CACNA1G	65	43	39	56	65	61	77	54	51	54	30	26	0	0	0	2
ENSG00000006327.9	TNFRSF12A	154	161	217	195	501	538	272	259	1397	1516	716	806	76	64	28	69
ENSG00000006377.9	DLX6	7	9	20	18	4	7	17	18	3	5	9	1	1	1	1	1
ENSG00000006432.11	MAP3K9	123	103	329	299	110	101	381	382	158	159	138	107	18	28	31	48
ENSG00000006451.3	RALA	1179	1060	1582	1531	948	1155	2718	2647	1900	2052	1907	1868	318	322	309	447
ENSG00000006453.9	BAIAP2L1	107	78	52	56	76	93	207	203	98	108	31	52	15	16	7	12
ENSG00000006459.6	JHDM1D	996	859	2363	2251	681	817	3900	3758	1957	2131	1683	1669	431	494	523	733
ENSG00000006468.9	ETV1	85	72	114	112	85	89	221	230	89	97	75	70	6	13	8	3
ENSG00000006530.11	AGK	734	572	1367	1440	541	592	1699	1684	921	997	785	875	253	254	262	447
ENSG00000006534.11	ALDH3B1	405	413	358	371	692	741	452	440	649	642	900	944	384	365	192	314
ENSG00000006555.6	TTC22	125	138	327	372	182	244	367	393	282	319	162	163	49	63	67	96
ENSG00000006576.12	PHTF2	883	846	2029	1955	891	895	2181	2196	1225	1411	1067	1086	230	256	274	394
ENSG00000006606.4	CCL26	261	211	867	879	541	611	66	54	2074	2265	3482	3646	323	363	406	749
ENSG00000006607.8	FARP2	212	192	312	314	71	121	502	481	216	223	141	146	47	63	26	42
ENSG00000006611.11	USH1C	0	1	0	2	0	1	1	5	0	0	0	1	1	2	0	0
ENSG00000006625.13	GGCT	578	599	1268	1208	904	1003	1041	1033	1263	1421	1841	1863	383	466	364	545
ENSG00000006634.3	DBF4	267	262	875	855	239	240	696	633	504	527	426	417	144	152	144	238
ENSG00000006638.7	TBXA2R	82	74	108	103	168	200	94	105	169	155	114	136	14	11	5	15
ENSG00000006652.9	IFRD1	516	470	874	848	599	600	734	773	782	817	872	884	266	316	169	255
ENSG00000006659.8	LGALS14	3	2	59	57	8	9	6	4	23	34	4	2	7	5	21	23
ENSG00000006695.6	COX10	323	307	822	842	364	457	674	595	601	715	526	553	102	118	125	210
ENSG00000006704.6	GTF2IRD1	118	100	82	78	135	143	216	224	203	215	196	224	35	24	12	25
ENSG00000006712.10	PAF1	1745	1581	2363	2293	2229	2379	2732	2693	2693	2601	2338	2694	458	466	337	493
ENSG00000006715.11	VPS41	1109	995	1910	1845	737	814	2853	2864	1465	1711	1447	1434	346	477	303	520
ENSG00000006740.11	ARHGAP44	123	118	129	131	76	79	142	172	120	124	127	139	26	29	11	11
ENSG00000006744.13	ELAC2	1417	1247	2526	2482	1718	1831	2466	2332	2127	2184	1978	2021	368	421	312	541
ENSG00000006747.10	SCIN	8	13	13	7	29	38	14	27	23	31	31	13	5	6	4	14
ENSG00000006756.11	ARSD	543	430	672	663	750	891	869	806	824	931	772	724	137	123	106	142
ENSG00000006757.7	PNPLA4	406	352	402	421	273	351	462	441	409	483	272	267	23	42	57	83
ENSG00000006788.7	MYH13	2	0	3	1	0	1	1	1	1	2	0	0	0	0	0	0
ENSG00000006831.9	ADIPOR2	1458	1287	2367	2397	1161	1322	2762	2834	1939	2100	1801	1745	348	446	291	456
ENSG00000006837.6	CDKL3	39	36	45	44	34	30	56	61	34	43	61	43	10	8	8	15
ENSG00000007001.8	UPP2	1	1	3	4	2	4	1	3	2	2	2	0	2	2	0	0
ENSG00000007038.6	PRSS21	122	137	31	48	40	41	58	61	60	57	21	28	9	11	15	26
ENSG00000007047.10	MARK4	630	618	714	793	691	703	1048	1055	864	844	684	827	111	130	106	166
ENSG00000007062.7	PROM1	16	24	11	4	1	7	54	47	13	13	0	1	1	1	0	0
ENSG00000007080.6	CCDC124	953	1007	1297	1119	2388	2051	1084	1240	1770	1481	1075	1463	329	369	109	181
ENSG00000007129.13	CEACAM21	320	282	574	522	261	293	533	562	472	588	355	361	110	104	90	144
ENSG00000007168.7	PAFAH1B1	2950	2540	5239	4948	2501	2890	5806	5684	4188	4571	4265	4092	744	867	631	949
ENSG00000007171.12	NOS2	135	121	75	101	12	17	544	545	48	54	37	58	8	14	1	2
ENSG00000007174.12	DNAH9	8	10	5	7	5	5	7	14	7	16	10	13	1	1	0	1
ENSG00000007202.10	KIAA0100	2950	2493	4460	4426	2826	3145	5769	5454	4341	4587	4119	4004	1253	1390	809	1340
ENSG00000007216.10	SLC13A2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000007237.13	GAS7	1125	1039	1629	1664	2240	2452	1903	1773	1637	1922	2076	2171	409	440	288	449
ENSG00000007255.6	TRAPPC6A	590	539	769	821	973	993	860	910	938	868	572	651	120	111	80	130
ENSG00000007264.9	MATK	521	538	332	313	456	452	768	809	527	432	448	507	147	166	47	79
ENSG00000007306.10	CEACAM7	7	5	1	0	0	0	4	4	11	8	3	5	0	0	0	0
ENSG00000007312.8	CD79B	4714	4312	7382	7764	2982	3534	7438	7625	7710	7643	1947	2217	344	326	239	373
ENSG00000007314.7	SCN4A	68	65	122	106	24	22	126	93	48	40	12	13	6	4	3	7
ENSG00000007341.14	ST7L	374	300	428	435	326	379	485	502	418	505	405	360	81	90	50	79
ENSG00000007350.12	TKTL1	26	24	43	44	20	27	70	56	72	62	28	35	1	2	4	0
ENSG00000007372.16	PAX6	29	32	47	51	29	24	52	57	41	47	72	74	9	8	14	14
ENSG00000007376.3	RPUSD1	510	534	859	930	1201	1331	679	698	1129	981	591	717	230	213	69	138
ENSG00000007384.11	RHBDF1	327	307	241	280	398	466	292	293	385	427	538	601	67	81	39	70
ENSG00000007392.12	LUC7L	2066	1768	2363	2296	2274	2015	2430	2577	2416	2519	2910	3142	1025	958	590	938
ENSG00000007402.7	CACNA2D2	52	61	79	74	43	37	105	123	50	61	31	31	6	4	6	22
ENSG00000007516.9	BAIAP3	77	78	89	103	132	141	349	370	118	87	46	51	3	6	4	5
ENSG00000007520.3	TSR3	786	790	1015	1043	1495	1404	959	1036	1279	1058	890	1072	250	277	116	201
ENSG00000007541.10	PIGQ	701	778	823	837	1327	1460	955	985	1267	1093	794	1103	271	274	113	167
ENSG00000007545.11	CRAMP1L	429	395	686	717	342	334	769	738	511	534	470	535	189	178	128	196
ENSG00000007866.14	TEAD3	276	254	227	227	426	463	425	408	557	593	338	384	48	66	21	41
ENSG00000007908.10	SELE	201	196	146	156	667	771	1210	1175	313	337	306	297	52	33	1	1
ENSG00000007923.11	DNAJC11	413	346	716	721	284	239	782	822	573	578	476	519	153	176	95	159
ENSG00000007933.8	FMO3	128	95	179	159	71	85	302	302	73	95	49	35	3	9	78	105
ENSG00000007944.10	MYLIP	756	707	1427	1465	674	674	2269	2321	1071	1238	1212	1238	273	302	308	486
ENSG00000007952.13	NOX1	3	4	12	14	11	7	17	11	5	10	11	4	2	0	1	5
ENSG00000007968.6	E2F2	251	272	961	960	245	302	280	253	343	415	249	234	42	55	60	117
ENSG00000008018.8	PSMB1	3996	3531	4343	4437	4025	4550	4330	4291	4983	5450	5866	6076	1048	1148	1024	1581
ENSG00000008056.8	SYN1	28	21	46	42	49	74	74	68	146	165	303	351	7	10	17	29
ENSG00000008083.9	JARID2	697	654	1697	1731	555	594	2061	2139	924	935	519	495	211	228	171	310
ENSG00000008086.6	CDKL5	12	14	11	10	2	8	27	32	6	8	2	13	0	0	0	1
ENSG00000008118.5	CAMK1G	11	11	56	45	113	137	97	85	113	98	88	102	21	18	16	23
ENSG00000008128.18	CDK11A	427	341	299	308	238	226	338	327	460	504	391	480	149	129	107	174
ENSG00000008130.11	NADK	2158	1940	2658	2551	1844	1914	2987	3083	2887	2956	2493	2650	972	1030	424	636
ENSG00000008196.8	TFAP2B	0	0	0	1	6	1	0	2	3	0	1	0	0	0	0	0
ENSG00000008197.4	TFAP2D	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000008226.15	DLEC1	65	46	81	80	102	83	131	120	41	51	62	36	13	12	11	13
ENSG00000008256.11	CYTH3	636	574	510	506	721	737	938	929	691	738	531	579	52	67	35	41
ENSG00000008277.10	ADAM22	197	167	268	280	100	97	329	354	211	186	240	270	10	21	31	30
ENSG00000008282.3	SYPL1	2264	1963	3583	3314	1378	1703	4410	4379	2802	2888	2374	2335	287	328	285	476
ENSG00000008283.11	CYB561	829	744	661	750	899	1068	1121	1104	1069	1081	1506	1629	283	315	167	270
ENSG00000008294.16	SPAG9	1392	1306	1887	1682	1058	1127	2851	2815	1646	1751	1746	1764	333	369	270	442
ENSG00000008300.10	CELSR3	71	56	202	217	103	134	156	125	415	432	452	514	134	148	68	122
ENSG00000008311.10	AASS	112	86	135	134	45	63	228	191	83	76	104	121	23	25	23	35
ENSG00000008323.11	PLEKHG6	7	3	5	11	5	6	81	75	7	8	7	10	1	2	0	0
ENSG00000008324.6	SS18L2	763	646	1323	1229	782	819	1002	1074	1096	1246	901	955	235	288	254	372
ENSG00000008382.11	MPND	436	385	444	452	649	690	604	527	633	605	707	833	312	280	106	181
ENSG00000008394.8	MGST1	121	92	150	154	385	449	1123	1054	110	117	88	89	41	35	4	13
ENSG00000008405.7	CRY1	411	391	544	523	238	307	841	795	564	597	470	529	79	68	79	110
ENSG00000008438.4	PGLYRP1	10	6	9	18	17	20	20	10	52	61	33	42	1	1	0	0
ENSG00000008441.12	NFIX	797	743	655	699	1482	1472	1321	1252	1071	1113	1183	1321	120	126	49	73
ENSG00000008513.10	ST3GAL1	1782	1504	4018	4239	1909	2055	6326	5974	3132	3337	2717	2740	500	594	529	852
ENSG00000008516.12	MMP25	506	399	622	668	592	707	907	865	631	610	722	771	465	485	219	291
ENSG00000008517.12	IL32	3879	3511	10520	10851	11326	12319	10232	9882	12354	13095	13422	14180	2801	3053	3341	5431
ENSG00000008710.13	PKD1	1252	1313	1497	1378	2084	1978	1925	2112	1996	1813	1257	1666	533	544	212	334
ENSG00000008735.10	MAPK8IP2	13	14	18	35	23	19	42	33	13	22	21	21	30	21	5	5
ENSG00000008838.13	MED24	1408	1268	2220	2368	1545	1804	2534	2389	2173	2064	1566	1822	430	448	246	385
ENSG00000008853.12	RHOBTB2	879	773	954	1019	420	474	1548	1430	1044	932	524	543	78	92	82	133
ENSG00000008869.7	HEATR5B	970	759	1811	1809	442	447	2773	2555	756	958	720	680	156	164	199	326
ENSG00000008952.12	SEC62	3732	3342	4472	4404	1862	2141	5443	5486	2993	3378	3038	2957	469	548	601	814
ENSG00000008988.5	RPS20	34396	31479	51671	50792	41628	48402	56722	59489	46212	49627	46074	46535	6860	7364	9450	14660
ENSG00000009307.11	CSDE1	10938	9503	18678	18385	8687	9170	25108	24064	13371	15048	13366	13183	2662	3103	2464	3417
ENSG00000009335.13	UBE3C	1208	1117	2410	2340	849	878	3019	2918	1637	1855	1610	1593	350	386	311	443
ENSG00000009413.11	REV3L	499	413	997	990	239	241	1231	1266	483	527	435	443	91	105	91	193
ENSG00000009694.9	TENM1	43	41	203	183	69	55	202	192	88	89	64	57	7	17	37	50
ENSG00000009709.7	PAX7	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000009724.12	MASP2	21	14	29	34	12	13	40	29	16	19	12	9	3	2	6	3
ENSG00000009765.10	IYD	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000009780.11	FAM76A	337	292	515	419	293	331	594	555	425	428	475	426	87	112	80	133
ENSG00000009790.10	TRAF3IP3	3650	3217	7377	7458	3079	3302	9637	9334	6271	6999	3806	3965	1042	1109	1393	2103
ENSG00000009830.7	POMT2	415	353	364	392	443	553	473	483	503	503	576	618	111	102	58	96
ENSG00000009844.11	VTA1	828	757	1407	1370	516	542	1698	1741	1171	1306	1087	1072	187	270	222	410
ENSG00000009950.11	MLXIPL	15	10	3	0	23	15	147	173	12	11	62	68	4	5	2	0
ENSG00000009954.6	BAZ1B	2020	1784	4024	3837	1868	2047	5074	4939	3382	3397	2740	2923	499	530	517	785
ENSG00000010017.9	RANBP9	1078	923	1891	1718	600	679	2340	2196	1498	1605	1280	1287	290	309	341	484
ENSG00000010030.9	ETV7	277	210	597	699	389	382	215	198	653	656	568	613	295	297	177	267
ENSG00000010072.11	SPRTN	200	175	369	349	144	168	449	404	318	355	245	266	45	55	58	93
ENSG00000010165.14	METTL13	1121	1002	1615	1621	1066	1265	1614	1583	1683	1661	1666	1704	308	325	181	261
ENSG00000010219.9	DYRK4	589	550	671	642	511	521	622	605	761	800	900	932	158	182	188	280
ENSG00000010244.12	ZNF207	3941	3563	6824	6661	2960	3256	7602	7295	5726	6467	5461	5402	1114	1334	1129	1729
ENSG00000010256.6	UQCRC1	3091	2825	3205	3423	4316	4823	3565	3355	4617	4897	6094	6628	989	1037	733	1155
ENSG00000010270.9	STARD3NL	722	637	938	870	458	483	1080	1116	903	1087	1143	1110	154	209	165	223
